"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1624","Intuide dhe vetedije kritike","Florensha Dado","4","rafte",""
"1625","Mrizi I Zanave","Gjergj Fishta","6","rafte",""
"1626","Lahuta e Malcis","Gjergj Fishta","2","rafte",""
"1627","Don Kishoti I Mances","Servantes","1","rafte",""
"1628","Programe te kurrikules berthamore te gjimnazit","","1","rafte",""
"1629","A history of Scotland","William Moffat","17","rafte",""
"1630","Network English","Rosemary Moor","67","rafte",""
"1631","come ha avuto origine la vita","","1","rafte",""
"1632","Agostuno","Alberto Monavo","1","rafte",""
"1633","Shota dhe Azet Galica","Ajet Haxhiu","1","rafte",""
"1634","Bajram Curri","Skender drini","1","rafte",""
"1635","interpretimi I endrrave,jeta sociale e njeriut","Sigmund Freud","1","rafte",""
"1636","Fshati midis ujrave","Kole Jakovari","1","rafte",""
"1637","Tregime Te zgjedhura","Mitrush Kuteli","1","rafte",""
"1638","Poema dhe Vjersha","Fatos Arapi","2","rafte",""
"1639","Karnavalet e Korces","Spiro Comora","1","rafte",""
"1640","Neoshqiptarizma","Ndricim Kulla","8","rafte",""
"1641","Petro Luarasi","Skender Luarasi","2","rafte",""
"1642","Karta e parisit","","1","rafte",""
"1643","Sebashku me Krishtin ne Jete","","1","rafte",""
"1644","The Tango Briefing","Adam holl","1","rafte",""
"1645","gramshi ne shekuj per liri","Kadri Musai","1","rafte",""
"1646","Qemal Stafa","Nasho Jorgaqi","1","rafte",""
"1647","The women is white","Wilkie Collins","1","rafte",""
"1648","Under the greenwood tree","Thomas Hardy","1","rafte",""
"1649","Soldier,sail North","james Pattinson","1","rafte",""
"1650","The arts man's quest for beauty","","1","rafte",""
"1651","Matura 2007 teste","","1","rafte",""
"1652","Udhezues per zhvillimin e kurrikules se re te gjimnazit","","1","rafte",""
"1653","Cmimet fituese ne poezi dhe proze per 20 shkolla","","1","rafte",""
"1654","Basketboll 1947 femra 1997","Dhimiter Bardhi","1","rafte",""
"1655","Orteku","Rexhai Surrai","1","rafte",""
"1656","Mein Kampf","Adolf hitleri","","rafte",""
"1657","Tregime","Gide mopasau","3","rafte",""
"1658","Dita e veres ne Elbasan","Sitke Q.Cerrekja","","rafte",""
"1659","Kontributi shqiptar ne rilindjen europiane","Mikel prendusgi","","rafte",""
"1660","Andon Zako Cajupi","Gjergj Zheji","","rafte",""
"1661","Femijet e Sotem","Azis Nesin","","rafte",""
"1662","ne stinen e fitores","Refik kucaj","","rafte",""
"1663","Misioni shek XX","Tajar Zavaloni","","rafte",""
"1664","Vepra","Faik Konica","","rafte",""
"1665","Lirika Greke","Heurik lacaj","","rafte",""
"1666","I semuri per mend","Molier","2","rafte",""
