"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"374","Dimri I Madh","Ismail Kadare","12","Dollapi 5","Roman"
"375","Kush e solli Doruntinen","Ismail Kadare","2","Dollapi 5","Roman"
"376","Shkaba","Ismail Kadare","20","Dollapi 5","Roman"
"377","Bised permes hekurash","Ismail Kadare","4","Dollapi 5","Roman"
"378","Dialog me Alain Bosquet","Ismail Kadare","3","Dollapi 5","Novel"
"379","Ura me tri harqe","Ismail Kadare","3","Dollapi 5","Roman"
"380","Tri keng zie per kosoven","Ismail Kadare","13","Dollapi 5","Novel"
"381","Piramida","Ismail Kadare","20","Dollapi 5","Novel"
"382","Aksidenti","Ismail Kadare","1","Dollapi 5","Roman"
"383","Kalorsi Lakuriq","Dritero Agolli","3","Dollapi 5","Roman"
"384","Vjedhja e gjumit mbreteror","Ismail Kadare","4","Dollapi 5","Tregim"
"385","Ikja e Shtergut","Ismail Kadare","3","Dollapi 5","Novel"
"386","Kusheriri I Engjejve","Ismail Kadare","4","Dollapi 5","Roman"
"387","Nata me hene","Ismail Kadare","5","Dollapi 5","Novel"
"388","Ca pika shiu ran mbi qelq","Ismail Kadare","4","Dollapi 5","Poezi"
"389","Viti I mbrapshte","ismail Kadare","4","Dollapi 5","Roman"
"390","Pasardhesi","Ismail Kadare","19","Dollapi 5","Novel"
"391","Hamleti,Princi I veshtire","Ismail Kaddare","4","Dollapi 5","Roman"
"392","Koncert ne fund te dimrit","Ismail Kadare","5","Dollapi 5","Novel"
"393","Nusja nga Europa","Qamil Buxheli","5","Dollapi 5","Tregim"
"394","Njeriu me Top","Dritero Agolli","2","Dollapi 5","Novel"
"395","Deshtaku","Dritero Agooli","5","Dollapi 5","Roman"
"396","Lumi I Vdekur","Jakov Xaxo","1","Dollapi 5","Roman"
"397","Udhetoj I menduar","Dritero Agolli","4","Dollapi 5","Poezi"
"398","Nene Shqiperi","Dritero Agolli","1","Dollapi 5","Poezi"
"400","Arkitekti","Fahri Balliu","8","Dollapi 7",""
"401","Ferrparajsa","Xhevahir Spahiu","3","Dollapi 7",""
"402","Vdekja lexon gazetën","Rudolf Marku","4","Dollapi 7",""
"403","E pabesa","Vera Kreka","1","Dollapi 7",""
"404","Vepra detare 1","Martin Camaj","1","Dollapi 7",""
"405","Vepra detare 2","Martin Camaj","1","Dollapi 7",""
"406","Vepra detare 4","Martin Camaj","2","Dollapi 7",""
"407","Vepra detare 5","Martin Camaj","2","Dollapi 7",""
"408","Poezia shqiptare","Xhevahir Spahiu","5","Dollapi 7",""
"409","Zonja e Zezë Nexhmie Hoxha","Fahri Balliu","8","Dollapi 7",""
"410","Patroni i zi","Fahri Balliu","8","Dollapi 7",""
"411","Djaj të humbur","Bahri Myftari","1","Dollapi 7",""
"412","Zemra ime është mal","Fahri Balliu","1","Dollapi 7",""
"413","Dita e nesërme","Fahri Balliu","2","Dollapi 7",""
"414","Dashuri e huaj","Elvira Danes","7","Dollapi 7",""
"415","Kardigan","Elvira Danes","2","Dollapi 7",""
"416","Dasmë në fund të Shkurtit","Agim Asaku","4","Dollapi 7",""
"417","Deti në mes","Fatos Arapi","6","Dollapi 7",""
"418","Dhjetori i shqetësuar","Fatos Arapi","4","Dollapi 7",""
"419","Shënime të shkruara","Sotir Andoni","2","Dollapi 7",""
"420","Mërgata e qyqeve","Nasho Jorgaqi","2","Dollapi 7",""
"421","Tokë e papushtueshme","Skënder Jasa","3","Dollapi 7",""
"422","Feniks","Shefki Karsdaka","10","Dollapi 7",""
"423","I vetem në jetë","Muhamet Alija","7","Dollapi 7",""
"424","Maleve në Shënendre","Sotir Andoni","2","Dollapi 7",""
"425","I dërguar nga klasa","Sotir Andoni","2","Dollapi 7",""
"426","Tri novela","Sotir Andoni","2","Dollapi 7",""
"427","Tregime nga Morava","Sotir Andoni","1","Dollapi 7",""
"428","Tregime nga Voskopoja","Sotir Andoni","1","Dollapi 7",""
"429","Trokthet e kuajve nëpër male.","Sotir Andoni","1","Dollapi 7",""
"430","Zbulimi","Anastas Kondo","1","Dollapi 7",""
"431","Dikush më buzëqeshte","Fatos Arapi","1","Dollapi 7",""
"432","Poema me vjersha","Fatos Arapi","1","Dollapi 7",""
"433","Tregime të zgjedhura","Anastas Kondo","3","Dollapi 7",""
"434","Tregime të zgjedhura","Sotir Andoni","4","Dollapi 7",""
"435","Shokët","Anastas Dushku","2","Dollapi 7",""
"436","Skena dhe prapaskena","Dionis Dubani","2","Dollapi 7",""
"437","Poezia shqipe","Dionis Dubani","1","Dollapi 7",""
"438","Duke dalë prej ëndrës","Fatos Arapi","6","Dollapi 7",""
"439","Poezia shqipe","Fatos Arapi","4","Dollapi 7",""
"440","Drama","Dionis Dubani","1","Dollapi 7",""
"441","Kështjella dimërore","Agim Isaku","4","Dollapi 7",""
"442","Kronika për një vrasje","Agim Isaku","5","Dollapi 7",""
"443","I shtati","Agim Isaku","1","Dollapi 7",""
"444","Ndërtimi i qiejve","Vath Koreshi","2","Dollapi 7",""
"445","Rrezja e padukshme","Skënder Jasa","5","Dollapi 7",""
"446","Peisazhe njerëzore","Nazim Himet","3","Dollapi 7",""
"447","Poezi","Drago Siliqi","3","Dollapi 7",""
"448","Rruga për nesër","Haiku","1","Dollapi 7",""
"449","Statujat zenë vendet","Tasim Aliaj","1","Dollapi 7",""
"450","Yjet e vendlindjes","Abdylhazis Islami","1","Dollapi 7",""
"451","Dritaret e fjalës","Adem Istrefi","1","Dollapi 7",""
"452","Gurët","Agim Isaku","1","Dollapi 7",""
"453","Shoku","Nasho Jorgaqi","4","Dollapi 7",""
"454","Ngarkesa e largët","Alfred Ranini","5","Dollapi 7",""
"455","Drama","Fahri Balliu","20","Dollapi 7",""
"456","Vetëkryqëzimi","Leka Toto","3","Dollapi 7",""
"457","Di ta lexoj fytyrën","Liri Setillari","2","Dollapi 7",""
"458","Rrjedh një lumë","Bajazit Gohani","2","Dollapi 7",""
"459","Tri komedi","Spro Camora","5","Dollapi 7",""
"460","Drama","Rruzhdi","3","Dollapi 7",""
"461","Trimi vate Luli","Kolë Jakova","3","Dollapi 7",""
"462","Profil","Liri Setillari","3","Dollapi 7",""
"463","Toka jonë","Kolë Jakova","2","Dollapi 7",""
"464","Lumi i dashurisë","Thoma Stejo","8","Dollapi 7",""
"465","-","Llambro Ruçi","2","Dollapi 7",""
"466","Burimi","Venera Ujko","9","Dollapi 7",""
"467","Pres të jetoj","Eva Papamihali","2","Dollapi 7",""
"468","Hapmë derën zonja mëmë","Venera Ujko","14","Dollapi 7",""
"469","Mos hesht","Fatmir Terziu","22","Dollapi 7",""
"470","Epoka para gjyqit","Ekrem Kryeziu","5","Dollapi 7",""
"471","Luani I shtëpisë","Fadil Kraja","2","Dollapi 7",""
"472","Përjetime","Zydi Zotaj","3","Dollapi 7",""
"473","Autografe","Halit Shamata","3","Dollapi 7",""
"474","Fisheku në pajë","Fadil Kraja","2","Dollapi 7",""
"475","Mos më pyet ku kam qenë","Ilirian Zhupa","2","Dollapi 7",""
"476","Im bir dhe rrezja e diellit","Mira Zaimasi","4","Dollapi 7",""
"477","Pëllumbat e shkronjave","Naum Prifti","3","Dollapi 7",""
"478","Shoku Niqifar","Pwllumb Kulla","3","Dollapi 7",""
"479","Drama","Kolë Jakova","2","Dollapi 7",""
"480","Abeli","Ethem Haxhiademi","2","Dollapi 7",""
"481","Motër e dashur","Arsinoi Bino","3","Dollapi 7",""
"482","Vite pa thirrje","Agim Shehu","2","Dollapi 7",""
"483","Koha e komisarëve","Todi Thanasi","3","Dollapi 7",""
"484","Gjaku i Arbërit","Fadil Kraja","3","Dollapi 7",""
"485","Zemra nuk është këmishë","Teodor Keko","3","Dollapi 7",""
"486","Futa","Sabri Hamiti","3","Dollapi 7",""
"487","Koha e dritës","Sheri Mita","3","Dollapi 7",""
"488","Shtatë shaljanët","Ndrekw Luca","2","Dollapi 7",""
"489","Drama","Loni Papa","1","Dollapi 7",""
"490","Fabula","","1","Dollapi 7",""
"491","Me jetën  dashuruar","Lili Setillari","1","Dollapi 7",""
"492","Shoku Ndricim hapi kasafortën","Rozi Theohari","1","Dollapi 7",""
"493","Kështjella mbi basbanë","Januz Dini","1","Dollapi 7",""
"494","Dy të plakur unë dhe Mefistofeli","Bashkim Hoxha","1","Dollapi 7",""
"495","Mrika","Llazar Siliqi","1","Dollapi 7",""
"496","Vatra e huaj","Ndrekw Luca","1","Dollapi 7",""
"497","Në emër të lumturisë","Ismail Hoxha","1","Dollapi 7",""
"498","Drama","Fadil Kraja","1","Dollapi 7",""
"499","Përmbytja","Bardhok Sulejmani","1","Dollapi 7",""
"500","Komunisti","Bardhok Sulejmani","1","Dollapi 7",""
"501","Tek ky themel","Miliano Stefa","1","Dollapi 7",""
"502","Zambaku im","Gjokë Beci","1","Dollapi 7",""
"503","Nesër ju them gjysmën e mbetur","Artan Alimeta","1","Dollapi 7",""
"504","Fund shpirti","Qazim Shehu","1","Dollapi 7",""
"505","Elira","Jonuz Pini","1","Dollapi 7",""
"506","Rritja","Jonuz Drini","1","Dollapi 7",""
"507","Anëdet","Niko Kocalidha","1","Dollapi 7",""
"508","Mes njerëzve","Llambro Ruçi","1","Dollapi 7",""
"509","Pesë qortimet","Agim Shehu","1","Dollapi 7",""
"510","Shtëpia e lepujve","Zija Çeja","1","Dollapi 7",""
"511","Kujtesa e ajrit","Visar Zhiti","4","Dollapi 7",""
"512","A thua do vish duke qeshur","Preç Zogaj","3","Dollapi 7",""
"513","Rrugë për larg","Vath Koreshi","3","Dollapi 7",""
"514","Poezia shqipe","Lirim Deda","3","Dollapi 7",""
"515","Pranvera e pozicioneve","Kujtim Halili","2","Dollapi 7",""
"516","Jehona e kohës","Mark Krasniqi","1","Dollapi 7",""
"517","Përsëri në udhë","Koci Petriti","2","Dollapi 7",""
"518","Kur dola në jetë","Tasim T. Aliaj","1","Dollapi 7",""
"519","Poezia shqipe","Koci Petriti","5","Dollapi 7",""
"520","Drama e Sakes","Vath Koreshi","9","Dollapi 7",""
"521","Poezi","Rahman Dedaj","5","Dollapi 7",""
"522","Ditë njerëzore","Bardhyl Londo","3","Dollapi 7",""
"523","Tregime të zgjedhura","Vath Koreshi","2","Dollapi 7",""
"524","Mars","Vath Koreshi","1","Dollapi 7",""
"525","Nomeja e largët","Faik Ballanca","2","Dollapi 7",""
"526","Larg dhe afër","Nasho Jorgaqi","5","Dollapi 7",""
"527","Tregime të zgjedhura","Nasho Jorgaqi","6","Dollapi 7",""
"528","Dasmë e cuditshme","Sotir Andoni","8","Dollapi 7",""
"529","Te ky themel","Militano Stefa","4","Dollapi 7",""
"530","Përballë hekurave të kryqëzuar","Kolë Jakova","4","Dollapi 7",""
"531","Prag feste","Petraq Kita","4","Dollapi 7",""
"532","Gurët","Agim Isaku","2","Dollapi 7",""
"533","Mërgata e qyteteve 1","Nasho Jorgaqi","3","Dollapi 7",""
"534","Mërgata e qyteteve 2","Nasho Jorgaqi","1","Dollapi 7",""
"535","Lëshoma hisen e Diellit","Adem Istrefi","1","Dollapi 7",""
"536","Muza 2","Grup autorësh","1","Dollapi 7",""
"537","Gjergj Kastrioti","Mirosh Merkaj","1","Dollapi 7",""
"538","Kohë e krisur","Xhevahir Spahiu","1","Dollapi 7",""
"539","Heshtje s'ka","Xhevahir Spahiu","1","Dollapi 7",""
"540","Brigjeve të Erzenit","Skënder Josa","1","Dollapi 7",""
"541","Arkitektura e zemrës","Agim Shehu","10","Dollapi 7",""
"542","Libri i të mallkuarve","Jusuf Buxhovi","3","Dollapi 7",""
"543","Agime shqiptare","Xhevahir Spahiu","2","Dollapi 7",""
"546","Ne boten e arbereshes te italise","Eqrem Cabej","1","Dollapi nr.1",""
"547","Atdhetaret ne vendlindjen time","Kadri musai","1","Dollapi nr.1",""
"548","Kostaq Cipo","Robert Cipo","1","Dollapi nr.1","Monografi"
"549","Aqif Elbasani figure e ndritur e kombit shqiptar","Kadri Musai","1","Dollapi nr.1",""
"550","Bashkeluftetaret ne clirimin e atdheut"," Kadri Musai","1","Dollapi nr.1",""
"551","Permes stuhise armike","Kadri Musai","1","Dollapi nr.1",""
"552","Voskopoja","Stilian Adhami","1","Dollapi nr.1",""
"553","Fjalet","Sulejman Mato","1","Dollapi nr.1","Poezi"
"554","Evolucioni I elektrikes","Hasan Mucoste","1","Dollapi nr.1",""
"555","Gege e Toske","A.Petrela","1","Dollapi nr.1",""
"556","Folklor Shqiptar","Sonila Shabani","1","Dollapi nr.1",""
"557","Vargu im zemra ime","Vasil Koci","5","Dollapi nr.1",""
"558","Neper llogaret avullore","Llazar cuci","1","Dollapi nr.1",""
"559","Në korie mes lisash","Ferhat cakaj","4","Dollapi nr.1","Vellime me tregime"
"560","Ndodhite e cuditshme te mirosh guximtarit","sokol Jakova","2","Dollapi nr.1",""
"561","Poezi te zgjedhura","Asdreni","3","Dollapi nr.1","Poezi"
"562","Pazar I Mbare","Dionis Bubani","3","Dollapi nr.1",""
"563","Prova Gjaku","Hysni Daja","2","Dollapi nr.1",""
"564","Poezi","Shefqet Peci","1","Dollapi nr.1","Poezi"
"565","Ditar Partizani","Gaqo Kollumbi","1","Dollapi nr.1","Ditar"
"566"," Ndjenje qe rriti brezar","Toni Shtjefeni","3","Dollapi nr.1",""
"567","Jete me brenga","Thoma Kocovi","1","Dollapi nr.1",""
"568","Tekste Gjuhe Shqipe","Aeka Sunday","3","Dollapi nr.1","Tekste"
"569","Fishta Koha Njeriu Vepra","Inoic Zampuh","1","Dollapi nr.1",""
"570","Permes Stuhis armike","Kadri Musai","1","Dollapi nr.1",""
"571","Potrete Mesatarish Deshmore","Musa Kraja","1","Dollapi nr.1",""
"572","Politika dhe Demokracia","Knol-Mellbve- Traov","1","Dollapi nr.1",""
"573","A restory of the modern world","Richard Putun","11","Dollapi nr.1",""
"574","Understanding","John Seely","19","Dollapi nr.1",""
"575","Difescope 2","Susan Cata","31","Dollapi nr.1",""
"576","The modern world","Deter mary","16","Dollapi nr.1",""
"577","A sense of style","Bill duscas","22","Dollapi nr.1",""
"578","Udhetime neper Ballkon"," Franz Nopcsa","10","Dollapi nr.1",""
"579","Mbi vepren poetike te Mjedes","Marka Cunakuqi","3","Dollapi nr.1",""
"580","Migjeni","Aurush Idrizi","2","Dollapi nr.1",""
"581"," Tradita dhe probleme te letersise ne Shqiperi per femije","Bedri Dedja","4","Dollapi nr.1",""
"582","Poezia e De Rades","Klara Kodra","4","Dollapi nr.1","Poezi"
"583","Fjale per poezin","Fatos Arapi","1","Dollapi nr.1","Poezi"
"584","Re ate et Nouvelles","Zya clla","2","Dollapi nr.1",""
"585","Anton haropi","Aurel Planomi","1","Dollapi nr.1",""
"586","Celesa per te hapur thesarin","Ndricim Kulla","9","Dollapi nr.1",""
"587","Mendimtar te kinemas kombetare","Zyoi Xholi"," 1","Dollapi nr.1",""
"588","studime per letersine realiste","Nexhup Cuma","1","Dollapi nr.1",""
"589","Faik konica","Sabri Haimi","1","Dollapi nr.1",""
"590","Estetika dhe letersia","Cr.v. Plehomov","6","Dollapi nr.1",""
"591","Jap Kastrari","Jeronim de Rada","1","Dollapi nr.1",""
"592","None yeda","Pinush Idrizi","2","Dollapi nr.1",""
"593","Fishta","Injoc Zamputi","4","Dollapi nr.1",""
"594","Emocione","Uvil Zajmi","2","Dollapi nr.1",""
"595","Rrefime","Shen Agustini","6","Dollapi nr.1","Rrefim"
"596","Argumentuesi","Arsindh kocla","10","Dollapi nr.1",""
"597","Dufterut Ballkanik","Jociob schurma","5","Dollapi nr.1",""
"598","Lidhja shqiptare e myslimanit","xoxi","2","Dollapi nr.1",""
"599","Shqoqeria Perball Konferncave 1910","Turkan Risine Permeti","5","Dollapi nr.1",""
"600","Trgime dhe keng popu  llore","----","2","Dollapi nr.1","Tregime dh kenge"
"601","Masakra ne cameri","Kastriot  Dervishi","8","Dollapi nr.1","Permbledhje Dokumentash"
"602","Zhvillimi I revolucionit kulturor ne shqiperi","Enrikta Kambo","1","Dollapi nr.1","Histori"
"603","Studime historike 4 (1972)","Studime Historike","1","Dollapi nr.1","Studime autentike shkencore"
"604","Studime historike 4 (1974)","Studime Historike","1","Dollapi nr.1","Studime autentike shkencore"
"605","Studime Historike 4 (1980)","Studime Historike","1","Dollapi nr.1","Studime autentike shkencore"
"606","Studime Historike 4 (1984)","Studime Historike","1","Dollapi nr.1","Studime autentike shkencore"
"607","Historia e ballkanit","Th.Murzaku A.Mullai","4","Dollapi nr.1","Histori"
"608","Problemet Shqiptare","Mehdi Frasheri","5","Dollapi nr.1",""
"609","Studime per epoken e Skenderbeut","Studime","2","Dollapi nr.1",""
"610","Oriental apo Oksidental","Krist Maloku","9","Dollapi nr.1",""
"611","Elita Shqiptare","Mithat Frasheri","8","Dollapi nr.1",""
"612","Vepra","Branko Merxhani","8","Dollapi nr.1","Veper"
"613","Historia Boterore dhe qyteterimi 1","Karl Grimberg","2","Dollapi nr.1","Histori"
"614","Kanuni I Leke Dukagjinit","At Sgtjefen Gjecovi","1","Dollapi nr.1",""
"615","Historia e Kohes ae Re (2)","Romeo Gurakuqi","4","Dollapi nr.1","Histori"
"616","Historia e kohes se Re (3)","Mendun Dergoti Romeo Gurakuqi","6","Dollapi nr.1","Histori"
"617","Don Kishoti I Mances","Servantes","1","Dollapi nr.1","Roman"
"618","Historia e Skenderbeut","Marlin Barleti","2","Dollapi nr.1","Histori"
"619","Out Line as its story","------","1","Dollapi nr.1",""
"620","Ca pikoi shiu rane mbi qelq","Ismail Kadare","1","Dollapi nr.1","Poezi te zgjedhura"
"621","American Perspective","Cared Boadi","1","Dollapi nr.1",""
"622","Brenga e Ballkanit dhe vepra te tjera per Shqiperine e Shqipetareve","Edit Durham","2","Dollapi nr.1","Histori"
"623","Gjysme hera dhe shiponja","George Gawrych","4","Dollapi nr.1",""
"624","Sarkozi pranvera e frances","Catherine Nay","9","Dollapi nr.1","Biografi"
"625","Child trafficking in Albania","Revista","1","Dollapi nr.1","revist"
"626","Estetika e fjales Shqipe","Nasho Jorgaqi","12","Dollapi nr.1","Studim artikuj ese"
"627","Kerkime","Ali Aliu","8","Dollapi nr.1",""
"628","Kosova nje histori e shkurter","Noel  Malcolm","1","Dollapi nr.1","Histori e shkurter"
"629","Naim","-------","5","Dollapi nr.1",""
"630","Revolucioni I Demokrates borgjez I qershorit  1924","Selim Shpura","2","Dollapi nr.1",""
"631","Revolucioni Francez dhe mendimtarer shqiptar","Akademia e shkencave","3","Dollapi nr.1",""
"632","Revolucioni I qeshorit","Fan Noli","2","Dollapi nr.1",""
"633","Histora e luftes antifashiste nacionaliste (1939-1944)","Akademia e Skencave","2","Dollapi nr.1","Histori"
"634","Historia e Shqiperis","Akademia e Shkencave","1","Dollapi nr.1","Histori"
"635","Princi","Niccolo Machiavelli","4","Dollapi nr.1","Tregim"
"636","Franc Babinger","Mehmeti Pushtuesi","16","Dollapi nr.1",""
"637","Tangerlleqet madheshtore","Astrit aradaku","","Dollapi nr.1",""
"638","Rabana e vetmis","Mimoza Alla","9","Dollapi nr.1",""
"639","Me vjen per jagan","Selim Shpuza","17","Dollapi nr.1",""
"640","Rexits et vovellus","Zylo Ceka","1","Dollapi nr.1",""
"641","Komente te zgjedhura","Nexhat Haku","1","Dollapi nr.1","Koment"
"642","Bimet zbukuruese te fushesh","Deri Dimga","1","Dollapi nr.1",""
"643","A njera dhe shtat pullturat","Neriman Kamberi","2","Dollapi nr.1",""
"644","Mjelma e liqenit","Mirela Bregu","4","Dollapi nr.1",""
"645","Pergjigje te letra","Tregime","1","Dollapi nr.1","Tregime"
"646","Mali","Gazment Kongoli","1","Dollapi nr.1","novele"
"647","Jam elektricist","Llambro Ruci","1","Dollapi Nr.1",""
"648","Mezat  kalter","Shpend Soallaku","1","Dollapi Nr.1","Poezi"
"649","Njeriu qe keshillohet me karrigen","Gazment Kongoli","1","Dollapi nr.1",""
"650","Mos kujtoni se jam nje vizitor I vone","Agim Isaku","1","Dollapi nr.1","Poezi"
"651","Burimet","Nexhet Deveja","1","Dollapi nr.1",""
"652","Revista Pedagogjike","----","3","Dollapi nr.1","Revist"
"653","Tregime humoristike","Jonuz Dini","2","Dollapi  nr.1","Tregim"
"654","Rreze drite mbi shkelzen","Sokol Arafi","1","Dollapi nr.1",""
"655","Kenge per mikun e pyllit","Vasil Koci","1","Dollapi nr.1","Kenge"
"656","Anedet vejrsha e poema","Niko Kacalidha","1","Dollapi nr.1","Vjersha"
"657","Biri I ambasadorit","Vangjush Saro","1","Dollapi nr.1","Tregime"
"658","E qanur","Vojsava Nelo","1","Dollapi nr.1","Poezi"
"659","Ballada e yjeve te ndezur","Perikli Jorgoni","1","Dollapi nr.1","Poezi"
"660","Miell Ii","Dionis Bubani","1","Dollapi nr.1",""
"661","Mengjes Sirenash","Xhevahir Spahiu","1","Dollapi nr.1","Vjersha"
"662","Dita e veres","","4","Dollapi nr.1",""
"663","Zhyl verni ne katror","Niko Nikolla","4","Dollapi nr.1",""
"1022","Novela","Proper Merlin","22","Dollapi 6","Novel"
"1023","I huaj","Alber Kamy","2","Dollapi 6","Roman"
"1024","Murtaja","Alber Kamy","21","Dollapi 6","Roman"
"1025","Fshataret","Honore de Balzak","2","Dollapi 6",""
"1026","Iluzionet e humbura","Honore de Balzak","2","Dollapi 6","Roman"
"1027","Nene Shqiperi","Dritero Agolli","14","Dollapi 6","Poeme"
"1028","Vepra letrare","Dritero Agolli","6","Dollapi 6",""
"1029","Vepra letrare","Mitrush Kuteli","5","Dollapi 6",""
"1030","Tre mjeshteri","Stefan Cvajg","5","Dollapi 6",""
"1031","Safo","Alfons Dode","4","Dollapi 6",""
"1032","Gjëri i vogël","Alfons Dode","3","Dollapi 6","Roman"
"1033","Yambaku i detit","Andre Piere de Mondagenes","4","Dollapi 6","Roman"
"1034","Pellgu i Djallit","Zhorzh Sand","8","Dollapi 6",""
"1035","Dashuri fatale
Dashuri fatale","Alfred dë Myse","4","Dollapi 6",""
"1036","Te ftuarit","Claude Simon","7","Dollapi 6",""
"1037","Getsbi i Madh","Frensis Skot Ficxherald","4","Dollapi 6","Roman"
"1038","Lufta për zjarrin","Roni","3","Dollapi 6",""
"1039","Krimi i Silvestër Bonarit","  Anatol Frans","4","Dollapi 6","Roman"
"1040","Tereze Deskeru","Frankus Morak","3","Dollapi 6",""
"1041","Njeriu me te zeza","Patrik Kesel","3","Dollapi 6","Roman"
"1042","Pasrsejasit","Feliks Gra","3","Dollapi 6",""
"1043","Kronika e kases se Karlit IX","Prosper Merimee","4","Dollapi 6",""
"1044","Tereza Raken","Emil Zola","9","Dollapi 6",""
"1045","Në fillim gri, pastaj e bardhë, pastaj blu","M de Moor","2","Dollapi 6",""
"1046","Burgu","Zhorzh Simeon","12","Dollapi 6",""
"1047","Kenge revolucionare","Euzhan Palje","5","Dollapi 6",""
"1048","Maria Stjuart","Stefan Cvajg","5","Dollapi 6",""
"1049","Dashnori","Marguerite Duras","4","Dollapi 6","Roman"
"1050","Dhjetë e gjysmë e mbrëmjes në verë","Marguerite Duras","2","Dollapi 6",""
"1051","Ç'është letersia?","Zhan Pol Sartri","13","Dollapi 6",""
"1052","Franz List","Zhelt Marshanji","3","Dollapi 6",""
"1053","Vellezerit Riko","Zhorzh Simeon","1","Dollapi 6",""
"1054","Vjersha","Zef Serembe","1","Dollapi 6",""
"1055","Aleksander Fleming","A. Morua","1","Dollapi 6",""
"1056","Antoinette","Romain Rolland
Romain Rolland 
Romain Rolland
Romain Rolland
Romain Rolland
Romain Rolland","1","Dollapi 6",""
"1057","Qeni verdhe","Zhorzh Simeon","1","Dollapi 6",""
"1058","Te mjeret","Viktor Hygo","2","Dollapi 6",""
"1059","Tre musketjeret","Aleksander Dyma","20","Dollapi 6",""
"1060","Padurimi i zemrës","Stefan Cvajg","2","Dollapi 6","Roman"
"1061","Pershtjellim ndjenjash
Pershtjellim ndjenjash","Stefan Cvajg","2","Dollapi 6",""
"1062","I mbyllur nga te kater anet","","1","Dollapi 6",""
"1063","Tartarini i Taraskonit","Alfons Dode","3","Dollapi 6",""
"1064","20000 lega nën det","Zhyl Vern","1","Dollapi 6",""
"1065","Fabula","La Fonten","1","Dollapi 6",""
"1066","Tri rrëfenja","Gustav Flober","2","Dollapi 6",""
"1067","Komedia njerezore","William Seroian","2","Dollapi 6",""
"1068","Lumturia e damave","Emil Zola","8","Dollapi 6",""
"1069","A ju pelqen Bramsi?","Fransuaze Segen","5","Dollapi 6",""
"1070","Konti i Montekristos","Aleksander Dyma","1","Dollapi 6",""
"1071","Qielli s ka preferenca","Erih Maria Remark","2","Dollapi 6",""
"1072","Lulet e se keqes","Sharl Bodler","3","Dollapi 6",""
"1073","Asgje e re nga fronti i perendimit","Erih Maria Remark","3","Dollapi 6",""
"1074","Antelegjia politike","Viktor Hygo","1","Dollapi 6",""
"1075","Lavrashi","Viktor Hygo","1","Dollapi 6",""
"1076","Poezi te zgjedhura","Shandor Petefi","2","Dollapi 6",""
"1077","","Ge de Mapasan","1","Dollapi 6",""
"1078","Shpirtciltri","Volter","3","Dollapi 6",""
"1079","Tregime dhe novela","Ge de Mapasan","3","Dollapi 6",""
"1080","Stendal","Leveni","1","Dollapi 6",""
"1081","Shpartallimi","Emil Zola","5","Dollapi 6",""
"1082","Ne shtepine e huaj","Berndar Klevel","3","Dollapi 6",""
"1083","Kyci i botes","Mishel Grimo","4","Dollapi 6",""
"1084","Poezi","Louis Aragen","2","Dollapi 6",""
"1085","Literatroni","Robert Eskarpit","2","Dollapi 6",""
"1086","Zjarri","Anri Barbys","1","Dollapi 6",""
"1087","Qartesi","Anri Barbys","2","Dollapi 6",""
"1088","Zhak Ventrasi","Zhyl Vales","3","Dollapi 6",""
"1089","Poezi","Alen Baske","4","Dollapi 6",""
"1090","Princi i Vogel","Antonie de Saint Ekzyperi","5","Dollapi 6",""
"1091","Kozeta","Viktor Hygo","1","Dollapi 6",""
"1092","Kandili","Volter","1","Dollapi 6",""
"1094","Informatika","Arion Hyserbegas","1","Dollapi 8",""
"1095","Energjia Atomike","Qevqep Kombo","1","Dollapi 8",""
"1096","Fantazma e berthames","","1","Dollapi 8",""
"1097","Dua te di gjithcka","	Enciklopedia e rinise","1","Dollapi 8",""
"1098","Pushka Top Bajram Curri","Sulejman Krasniqi","1","Dollapi 8","Roman"
"1099","Pse zhvillohen reaksionet kimike?","Veldet Kodra","1","Dollapi 8",""
"1100","Problemet e biollogjise ne driten e dialektikes materialiste","Alkeo xoxe","1","Dollapi 8",""
"1101","Artet dhe Zhvillimi i tyre","Razi Brahimi","1","Dollapi 8",""
"1102","Matematika dhe fizika ne shkolle","","1","Dollapi 8",""
"1103","Bulwtini Bibliografik","","1","Dollapi 8",""
"1104","Nga historia e fizikes se berthames se atomit","Fejzi Perdja","1","Dollapi 8",""
"1105","Qyteti ne Stepe","	A.S Serafimovic","1","Dollapi 8",""
"1106",""," A.S Pushkin","1","Dollapi 8",""
"1107","Eter dhe Binj","Turgenjev","1","Dollapi 8","Roman"
"1108","Riparimi i makinave Metalprerese","","1","Dollapi 8",""
"1109","Sa e vjeter eshte Toka?","Patrik M.Herbej","1","Dollapi 8",""
"1110","Nje histori e merzitsheme","Cekev","1","Dollapi 8",""
"1111","Matjet ne Matematike","","1","Dollapi 8",""
"1112","Toksikologjia","Gojard Cerga","1","Dollapi 8",""
"1113","Telefoni dicka e thjeshte","Zeme Celaj","1","Dollapi 8",""
"1114","Teknika dhe kimia ne pikture","Ramedon Karaxha","1","Dollapi 8",""
"1115","Taras Bulla Nikollaj","V.Gogot","1","Dollapi 8",""
"1116","Lirika","M.Lermanlov","1","Dollapi 8",""
"1117","Pogramet per shkollat e mesme","","1","Dollapi 8",""
"1118","Poema 2","Mihail Lermontov","1","Dollapi 8",""
